pr,head_sha,base_ref,base_sha,is_non_main_base,predecessor_pr,base_drift_detected,merge_base_with_main,ahead_of_main,behind_main,main_is_ancestor,head_is_ancestor,head_tree,main_contains_patch,merge_compatibility_against_main,topology_class
1147,4a05d03584b20f7e3d618c4225e66fdbe3fa71ba,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,1,0,True,False,f7f2fb97876713b67e831992c342bcc37406a3ca,False,CLEAN,CLEAN_INDEPENDENT_DELTA
1148,6c37e3515541af3479fcf901675b28c05aef50c2,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,5f862d36f5417801b9fe148fccbb439731627234,1,41,False,False,41495d3788b220e84ac94296c31c065d1f0e5e68,False,CLEAN,STALE_REPAIRABLE
1151,a091c67c3171e4ef7a2f16311974f42ca0ed4e9b,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,5f862d36f5417801b9fe148fccbb439731627234,3,41,False,False,f4ef1e3399de5d45fbf89f35fc9a09910b8ce506,False,CLEAN,STALE_REPAIRABLE
1152,756fb8b9a2c5057377eae149bf8ca6273bfd1fd1,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,72af781e42e0702d9047946e0f5a250e7dff0fa5,17,22,False,False,f6c9151f999d4f5353ee61d393eee92f5385becf,False,CLEAN,STALE_REPAIRABLE
1153,17cd5984d6e70f82366afae3d99f28b5f807dc26,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,5f862d36f5417801b9fe148fccbb439731627234,4,41,False,False,87144a87121bf661fb57773b5dc851c9e9b7a98c,False,CLEAN,STALE_REPAIRABLE
1154,1e2fb793557f3faf63124d76e2a52658017ca026,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,5f862d36f5417801b9fe148fccbb439731627234,5,41,False,False,da350e355badb8e4e25efa0bd3e98024e892bc99,False,CLEAN,STALE_REPAIRABLE
1155,c05d8c062a40b2d3a1a9485ef239b433b659650b,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,5f862d36f5417801b9fe148fccbb439731627234,2,41,False,False,6122631a177094fd52cc8fdcb9092e2d37ad720f,False,CLEAN,STALE_REPAIRABLE
1156,dcfa4978f65044d93422f1a5b6837e54a6453319,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,5f862d36f5417801b9fe148fccbb439731627234,6,41,False,False,3e22601142c31405eb9b2131b1f8f3d7c74e3085,False,CLEAN,STALE_REPAIRABLE
1157,40224403cba6411ea79156572710b8b13b5e5cb9,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,5f862d36f5417801b9fe148fccbb439731627234,5,41,False,False,83b4931807ffd7e43950cec557a87d20cc9f511d,False,CLEAN,STALE_REPAIRABLE
1159,3a6cda08047776bf62259eb350e79a6840a56892,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,5f862d36f5417801b9fe148fccbb439731627234,1,41,False,False,097cfb1e17f84d67a4859a715eeb784e319306ef,False,CLEAN,STALE_REPAIRABLE
1161,9de59b49ed8a284feee1087cd4289880deb60e71,main,33d6c353023ecc3aa6331ab39f4f076ae3ca1fda,False,None,False,72af781e42e0702d9047946e0f5a250e7dff0fa5,10,22,False,False,2a2c4e3f9223f3c726e4bd968a4d51d00c8aae75,False,CLEAN,STALE_REPAIRABLE
1163,08e4bfe7ce41c6802f4b1f424d8f107a81b99e41,docs/ltaip-full-packet-import,5bcadcb59427a5f1094d3bc0ed0e94de9ed9a74f,True,1127,True,e9fde7c3eb6827124b7a9671a20a31188ff073e7,2,82,False,False,253abd015f1520649e9ee4b4f16173b8704ba6fa,False,CLEAN,STACKED_ON_OPEN_PR
